"PIDN","Ca","P","pH","SOC","Sand"
"09gt9UK5",-0.493906974699483,-0.0152531104414741,-0.492423164223512,-0.684071579375432,0.636783011702533
"0BVvxJ6a",0.753909646461079,-0.0299593027240897,0.604935498975037,-0.537001624146463,-1.15294476972805
"0KbdgApg",-0.110362838744439,-0.0401095019277702,0.194400134942208,-0.0455068627948608,-0.644257445476861
"0MnuuduB",-0.173120729185595,-0.0105931951310388,0.00383160266785708,0.694747456861469,-0.8769033680267
"0PcIsF9z",-0.417675971307436,-0.00349565311707938,-1.60933224777816,0.510462450706157,-0.594225783884175
"0ShTFLYJ",-0.963148378373428,-0.0285411880003972,-0.340933536011136,-0.628626793045665,-0.00420827755905906
"0XZh9jka",-0.565081119333362,0.015033024033765,-0.744054875614886,1.35241490095876,-0.235765008091162
"0Y7Wegri",-0.171873085734955,-0.0244758479912202,0.839825474709935,-0.600478753279669,0.0844186217211865
"0dTqplIM",-0.0855275855916998,0.000957387369680859,0.33872043774933,0.303477362496685,-0.768227161662356
"0lNiZicC",-0.521178424029352,-0.0400082997423968,-0.799314112422343,-0.315969634103761,-0.885385326671578
"0rGeJ0QN",-0.718205272178073,-0.00427725193380483,-0.536226256740636,0.00466112277490073,0.439762954636783
"0sXI9ytQ",-0.612661253710205,0.00482862967171078,-0.492994166207147,-0.800073275197133,1.60828916299341
"0ukt4aP6",0.407642237262592,-0.0189233417146293,0.838989502017127,0.244551545395243,0.179739427607961
"1AGspb8f",-0.872977362940819,-0.0218302653598478,-0.99921691638175,0.304338109419363,-0.700182493700553
"1Csy0gvE",-0.61663978156367,0.00617564660101177,-0.433880838644745,-0.741366105581481,0.940771979384739
"1Ic2hly1",-0.0530977347559171,0.00497513955525049,-0.197064905913389,0.0963531120402906,0.542575700257029
"1PPbaTwt",-0.538597845733119,-0.023632443660885,-0.127805998901343,-0.785891889322488,0.138555085763388
"1SO5VJNy",-0.619514235150053,0.0108619628298812,-0.192470397123263,-0.897741880400841,0.912148755562295
"1arHxK3Y",0.789639358205942,0.00390755185195632,0.947453489115541,0.7545624053981,-0.166767205584192
"1fCW4Bba",0.101128172314476,-0.0142281866626729,0.308624621105649,-0.674160260061565,1.01778625886152
"1qDZNvIm",-0.623365996755699,0.00110063740076707,-0.162242827482589,-1.38430082238614,1.63340535203776
"28LYJC2V",-0.51603828379825,-0.00439997660162014,-0.605528191452964,0.70195067274321,-0.230472637873163
"2CzACvQq",0.613415176456979,-0.0282421725020153,1.42146288047596,-0.501232530718472,-0.100529891879656
"2FT3crfv",-0.4555850307059,0.00826837577606736,-0.270676614338724,0.151271324364922,-0.46388528705672
"2Fy2uHVg",-0.438728282252771,-0.0433786325639734,-0.39251588100181,-1.00585238215127,-0.00781549359865112
"2MkMEApm",-0.416663335936402,0.0102796031507102,0.265913800251326,-1.08898360310386,1.38186005125942
"2NDGWEOe",0.908703561442071,-0.02114124100134,1.53647253417153,0.0280919108617707,-0.50911584885169
"2NyyCiqn",-0.443459646142821,0.0107888623415046,0.0023369519842444,-0.881802975258783,0.960078861614619
"2QRzIb84",0.351584353358785,-0.0090521646026596,1.4395249436529,-0.595256626421592,0.426103084566346
"2QcbdrUZ",-0.300852862746158,-0.0185673282091793,-0.176740699458703,-0.842419931368131,0.944181011864029
"2YgAimWK",-0.222998449416317,-0.00404642211435387,0.233549106819052,-0.715052526505833,1.0928907064261
"2cx85d9H",-0.0599498210436542,-0.0407773155764731,-0.00524577226852306,0.0108519020269438,-0.976866863165617
"2homMXMV",-0.20462262052617,0.000474042782472546,-0.875094951854579,0.277813663959914,-0.142566831620469
