"PIDN","Ca","P","pH","SOC","Sand"
"09gt9UK5","0.417107396660354","-0.0192587616179599","0.312870308214484","0.302094250814274","-0.185762321070672"
"0BVvxJ6a","0.493373634473058","0.0818512680189042","0.372278846754697","0.314139570503129","0.467728978737057"
"0KbdgApg","-0.0588433040728076","0.0928212687412129","0.375672925495964","0.442910893808809","0.149339530055416"
"0MnuuduB","0.280196696955023","0.034073336747309","0.0848418674029602","0.166051780851619","-0.191587628250913"
"0PcIsF9z","-0.308552052249716","-0.1443640186983","-1.01273053453355","-0.879902875706011","-0.265408861181016"
"0ShTFLYJ","-0.385159742133949","-0.102956658449917","0.915007037516816","0.481457704055526","0.404334256642906"
"0XZh9jka","-1.19059163264981","-0.0949473315725692","-1.37473192351744","-1.2137713644143","-0.557042631450986"
"0Y7Wegri","0.297227191988514","0.0785866963257805","0.519789437503816","0.314139570503129","0.379742192270855"
"0dTqplIM","-0.104796967619095","-0.0505295005139945","0.229940076154281","-0.137529075786109","0.135128431987839"
"0lNiZicC","-0.155079561411681","-0.152101229770647","0.905711062008185","0.482892630580571","0.361077091329326"
"0rGeJ0QN","-0.301504149248111","-0.0829049225355247","-0.206125439776784","-0.735585094535136","-0.0374788149362402"
"0sXI9ytQ","0.657219566666605","-0.116003056172168","0.216168751637709","0.0638703411995778","-0.700703936569786"
"0ukt4aP6","-0.560464179411221","-0.0423876564304926","0.665426152787294","0.41684639006453","-0.274344410289275"
"1AGspb8f","-0.383697280289295","-0.0521303536495496","-0.491008031394302","-0.735454645717102","0.0170970203814939"
"1Csy0gvE","-0.139579607980791","-0.0616501984134904","0.176870470278814","-0.141181614762184","0.132801370559863"
"1Ic2hly1","-0.19105330516286","0.0321731232585731","-0.357554693334859","-0.296940023041601","-0.248751073049252"
"1PPbaTwt","0.0384780682395418","0.0398745723989339","0.281282564664505","0.346081771134852","-0.0242721705939062"
"1SO5VJNy","-0.0998190225936322","-0.0660318139237659","-0.170276838274702","-0.376627350102133","0.139313068037214"
"1arHxK3Y","0.587130993369853","-0.0115349155768438","0.791532561888254","0.739881929501283","-0.104857956131724"
"1fCW4Bba","0.142289524855516","-0.0389712558150324","0.0570673556188765","-0.161134552566171","-0.0482047251445019"
"1qDZNvIm","-0.564921766897627","-0.00810532320914601","-0.409627324907602","-0.282492423598795","0.0766956210634878"
"28LYJC2V","-0.617871760876315","-0.0289232198260298","-0.534541198566974","-0.735585094535136","0.0500630038233542"
